Код БТИ;Улица;Дом;Нет информации на вкладе ТЭ;Раздвоение во вкладке ТЭ;Колич. этажей < 1;Колич. парадных < 1;Колич. квартир < 1;Общ. площадь < 50;Отаплив. площадь < 50;Жил. площадь < 50;Общ. площадь < Отаплив. площади;Общ. площадь не = (жил. + нежил.)
129002;'10-я КРАСНОАРМЕЙСКАЯ  ул.';13;;;;;;;;;;Да
129003;'10-я КРАСНОАРМЕЙСКАЯ  ул.';14;;;;;;;;;;Да
129004;'10-я КРАСНОАРМЕЙСКАЯ  ул.';19;;;;;Да;;Да;Да;;
129005;'10-я КРАСНОАРМЕЙСКАЯ  ул.';21;;;;;;;;;;Да
129007;'10-я КРАСНОАРМЕЙСКАЯ  ул.';24;;;;;;;;;;Да
129008;'10-я КРАСНОАРМЕЙСКАЯ  ул.';3;;;;;;;;;;Да
129009;'10-я КРАСНОАРМЕЙСКАЯ  ул.';4;;;;;;;;;;Да
129010;'10-я КРАСНОАРМЕЙСКАЯ  ул.';6;;;;;;;;;;Да
129011;'10-я КРАСНОАРМЕЙСКАЯ  ул.';8;;;;;;;;;;Да
129012;'10-я КРАСНОАРМЕЙСКАЯ  ул.';9;;;;;;;;;;Да
129013;'10-я КРАСНОАРМЕЙСКАЯ  ул.';9;;;;;;;;;;Да
129014;'11-я КРАСНОАРМЕЙСКАЯ ул.';12;;;;;;;;;;Да
129015;'11-я КРАСНОАРМЕЙСКАЯ ул.';13;;;;;;;;;;Да
129016;'11-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129017;'11-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129018;'11-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129019;'11-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129020;'11-я КРАСНОАРМЕЙСКАЯ ул.';'2б';;;;;;;;;;Да
129021;'11-я КРАСНОАРМЕЙСКАЯ ул.';4;;;;;;;;;;Да
129028;'12-я КРАСНОАРМЕЙСКАЯ  ул.';10;;;;;;;;;;Да
129029;'12-я КРАСНОАРМЕЙСКАЯ  ул.';11;;;;;;;;;;Да
129030;'12-я КРАСНОАРМЕЙСКАЯ  ул.';12;;;;;;;;;;Да
129027;'12-я КРАСНОАРМЕЙСКАЯ  ул.';'1/21';;;;;;;;;;Да
129034;'12-я КРАСНОАРМЕЙСКАЯ  ул.';14;;;;;;;;;;Да
129037;'12-я КРАСНОАРМЕЙСКАЯ  ул.';16;;;;;;;;;;Да
129038;'12-я КРАСНОАРМЕЙСКАЯ  ул.';16;;;;;;;;;;Да
129039;'12-я КРАСНОАРМЕЙСКАЯ  ул.';19;;;;;;;;;;Да
129040;'12-я КРАСНОАРМЕЙСКАЯ  ул.';21;;;;;;;;;;Да
129043;'12-я КРАСНОАРМЕЙСКАЯ  ул.';23;;;;;;;;;;Да
129044;'12-я КРАСНОАРМЕЙСКАЯ  ул.';24;;;;;;;;;;Да
129045;'12-я КРАСНОАРМЕЙСКАЯ  ул.';3;;;;;;;;;;Да
129046;'12-я КРАСНОАРМЕЙСКАЯ  ул.';32;;;;;;;;;;Да
129047;'12-я КРАСНОАРМЕЙСКАЯ  ул.';34;;;;;;;;;;Да
129048;'12-я КРАСНОАРМЕЙСКАЯ  ул.';6;;;;;;;;;;Да
129050;'12-я КРАСНОАРМЕЙСКАЯ  ул.';6;;;;;;;;;;Да
129051;'12-я КРАСНОАРМЕЙСКАЯ  ул.';7;;;;;;;;;;Да
129052;'12-я КРАСНОАРМЕЙСКАЯ  ул.';8;;;;;;;;;;Да
129056;'13-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129058;'13-я КРАСНОАРМЕЙСКАЯ ул.';15;;;;;;;;;;Да
129060;'13-я КРАСНОАРМЕЙСКАЯ ул.';17;;;;;;;;;;Да
129061;'13-я КРАСНОАРМЕЙСКАЯ ул.';'17б';;;;;Да;;Да;Да;;
129064;'13-я КРАСНОАРМЕЙСКАЯ ул.';21;;;;;Да;;Да;Да;;
129066;'13-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129067;'13-я КРАСНОАРМЕЙСКАЯ ул.';23;;;;;;;;;;Да
129068;'13-я КРАСНОАРМЕЙСКАЯ ул.';24;;;;;;;;;;Да
129069;'13-я КРАСНОАРМЕЙСКАЯ ул.';26;;;;;;;;;;Да
129071;'13-я КРАСНОАРМЕЙСКАЯ ул.';28;;;;;;;;;;Да
129072;'13-я КРАСНОАРМЕЙСКАЯ ул.';6;;;;;;;;;;Да
129073;'1-я КРАСНОАРМЕЙСКАЯ ул.';12;;;;;;;;;;Да
129074;'1-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129075;'1-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129076;'1-я КРАСНОАРМЕЙСКАЯ ул.';18;;;;;;;;;;Да
129077;'1-я КРАСНОАРМЕЙСКАЯ ул.';18;;;;;;;;;;Да
129078;'1-я КРАСНОАРМЕЙСКАЯ ул.';2;;;;;;;;;;Да
129079;'1-я КРАСНОАРМЕЙСКАЯ ул.';20;;;;;;;;;;Да
129080;'1-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129081;'1-я КРАСНОАРМЕЙСКАЯ ул.';24;;;;;;;;;;Да
129082;'1-я КРАСНОАРМЕЙСКАЯ ул.';24;;;;;;;;;;Да
129083;'1-я КРАСНОАРМЕЙСКАЯ ул.';4;;;;;;;;;;Да
129084;'1-я КРАСНОАРМЕЙСКАЯ ул.';'8-10';;;;;;;;;;Да
129085;'1-я КРАСНОАРМЕЙСКАЯ ул.';'8-10';;;;;;;;;;Да
129086;'2-я КРАСНОАРМЕЙСКАЯ ул.';10;;;;;;;;;;Да
129087;'2-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129088;'2-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129089;'2-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129090;'2-я КРАСНОАРМЕЙСКАЯ ул.';19;;;;;;;;;;Да
129091;'2-я КРАСНОАРМЕЙСКАЯ ул.';'2/27';;;;;;;;;;Да
129092;'2-я КРАСНОАРМЕЙСКАЯ ул.';3;;;;;;;;;;Да
129093;'2-я КРАСНОАРМЕЙСКАЯ ул.';'7/4';;;;;;;;;;Да
129094;'3-я КРАСНОАРМЕЙСКАЯ ул.';10;;;;;;;;;;Да
129095;'3-я КРАСНОАРМЕЙСКАЯ ул.';12;;;;;;;;;;Да
129096;'3-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129097;'3-я КРАСНОАРМЕЙСКАЯ ул.';'2/31';;;;;;;;;;Да
129098;'3-я КРАСНОАРМЕЙСКАЯ ул.';4;;;;;;;;;;Да
129099;'3-я КРАСНОАРМЕЙСКАЯ ул.';6;;;Да;;Да;;Да;Да;;
129100;'3-я КРАСНОАРМЕЙСКАЯ ул.';8;;;;;;;;;;Да
129101;'3-я КРАСНОАРМЕЙСКАЯ ул.';8;;;;;;;;;;Да
129102;'3-я КРАСНОАРМЕЙСКАЯ ул.';8;;;;;;;;;;Да
129103;'3-я КРАСНОАРМЕЙСКАЯ ул.';9;;;;;;;;;;Да
129104;'4-я КРАСНОАРМЕЙСКАЯ ул.';11;;;;;;;;;;Да
129105;'4-я КРАСНОАРМЕЙСКАЯ ул.';'12/11';;;;;;;;;;Да
129106;'4-я КРАСНОАРМЕЙСКАЯ ул.';13;;;;;;;;;;Да
129108;'4-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129109;'4-я КРАСНОАРМЕЙСКАЯ ул.';15;;;;;;;;;;Да
129110;'4-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129111;'4-я КРАСНОАРМЕЙСКАЯ ул.';17;;;;;;;;;;Да
129112;'4-я КРАСНОАРМЕЙСКАЯ ул.';'18б';;;;;;;;;;Да
129114;'4-я КРАСНОАРМЕЙСКАЯ ул.';'20/8';;;;;;;;;;Да
129113;'4-я КРАСНОАРМЕЙСКАЯ ул.';'2/35';;;;;;;;;;Да
129115;'4-я КРАСНОАРМЕЙСКАЯ ул.';3;;;;;;;;;;Да
129116;'4-я КРАСНОАРМЕЙСКАЯ ул.';4;;;;;;;;;;Да
129117;'4-я КРАСНОАРМЕЙСКАЯ ул.';5;;;;;;;;;;Да
129118;'4-я КРАСНОАРМЕЙСКАЯ ул.';8;;;;;;;;;;Да
129119;'4-я КРАСНОАРМЕЙСКАЯ ул.';'9/9';;;;;;;;;;Да
129121;'5-я КРАСНОАРМЕЙСКАЯ ул.';'11/13';;;;;;;;;;Да
129122;'5-я КРАСНОАРМЕЙСКАЯ ул.';13;;;;;;;;;;Да
129124;'5-я КРАСНОАРМЕЙСКАЯ ул.';17;;;;;;;;;;Да
129126;'5-я КРАСНОАРМЕЙСКАЯ ул.';19;;;;;;;;;;Да
129127;'5-я КРАСНОАРМЕЙСКАЯ ул.';19;;;;;;;Да;Да;;
129129;'5-я КРАСНОАРМЕЙСКАЯ ул.';21;;;;;;;;;;Да
129128;'5-я КРАСНОАРМЕЙСКАЯ ул.';'2/39';;;;;;;;;;Да
129130;'5-я КРАСНОАРМЕЙСКАЯ ул.';24;;;;;;;;;;Да
129131;'5-я КРАСНОАРМЕЙСКАЯ ул.';26;;;;;;;;;;Да
129132;'5-я КРАСНОАРМЕЙСКАЯ ул.';28;;;;;;;;;;Да
129133;'5-я КРАСНОАРМЕЙСКАЯ ул.';3;;;;;;;;;;Да
129134;'5-я КРАСНОАРМЕЙСКАЯ ул.';30;;;;;;;;;;Да
129135;'5-я КРАСНОАРМЕЙСКАЯ ул.';4;;;;;;;;;;Да
129136;'5-я КРАСНОАРМЕЙСКАЯ ул.';6;;;;;;;;;;Да
129137;'5-я КРАСНОАРМЕЙСКАЯ ул.';7;;;;;;;;;;Да
129138;'5-я КРАСНОАРМЕЙСКАЯ ул.';8;;;;;;;;;;Да
129139;'6-я КРАСНОАРМЕЙСКАЯ ул.';1;;;;;;;;;;Да
129140;'6-я КРАСНОАРМЕЙСКАЯ ул.';12;;;;;;;;;;Да
129141;'6-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129142;'6-я КРАСНОАРМЕЙСКАЯ ул.';15;;;;;;;;;;Да
129143;'6-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129146;'6-я КРАСНОАРМЕЙСКАЯ ул.';21;;;;;;;;;;Да
129147;'6-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129148;'6-я КРАСНОАРМЕЙСКАЯ ул.';23;;;;;;;;;;Да
129149;'6-я КРАСНОАРМЕЙСКАЯ ул.';23;;;;;;;;;;Да
129151;'6-я КРАСНОАРМЕЙСКАЯ ул.';'2-4';;;;;;;;;;Да
129152;'6-я КРАСНОАРМЕЙСКАЯ ул.';'2-4';;;;;;;;;;Да
129153;'6-я КРАСНОАРМЕЙСКАЯ ул.';25;;;;;;;;;;Да
129154;'6-я КРАСНОАРМЕЙСКАЯ ул.';27;;;;;;;;;;Да
129155;'6-я КРАСНОАРМЕЙСКАЯ ул.';3;;;;;;;;;;Да
129156;'6-я КРАСНОАРМЕЙСКАЯ ул.';6;;;;;;;;;;Да
129157;'6-я КРАСНОАРМЕЙСКАЯ ул.';8;;;;;;;;;;Да
129158;'7-я КРАСНОАРМЕЙСКАЯ ул.';10;;;;;;;;;;Да
129159;'7-я КРАСНОАРМЕЙСКАЯ ул.';11;;;;;;;;;;Да
129161;'7-я КРАСНОАРМЕЙСКАЯ ул.';13;;;;;;;;;;Да
129164;'7-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129165;'7-я КРАСНОАРМЕЙСКАЯ ул.';17;;;;;;;;;;Да
129166;'7-я КРАСНОАРМЕЙСКАЯ ул.';19;;;;;;;;;;Да
129167;'7-я КРАСНОАРМЕЙСКАЯ ул.';20;;;;;;;;;;Да
129168;'7-я КРАСНОАРМЕЙСКАЯ ул.';20;;;;;Да;;Да;Да;;
129171;'7-я КРАСНОАРМЕЙСКАЯ ул.';'22-24';;;;;;;;;;Да
129172;'7-я КРАСНОАРМЕЙСКАЯ ул.';23;;;;;;;;;;Да
129175;'7-я КРАСНОАРМЕЙСКАЯ ул.';5;;;;;;;;;;Да
129176;'7-я КРАСНОАРМЕЙСКАЯ ул.';7;;;;;;;;;;Да
129177;'7-я КРАСНОАРМЕЙСКАЯ ул.';9;;;;;;;;;;Да
129178;'8-я КРАСНОАРМЕЙСКАЯ ул.';12;;;Да;;Да;;Да;Да;;
129179;'8-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129180;'8-я КРАСНОАРМЕЙСКАЯ ул.';'15-17';;;;;;;;;;Да
129181;'8-я КРАСНОАРМЕЙСКАЯ ул.';'15-17';;;;;Да;;Да;Да;;
129182;'8-я КРАСНОАРМЕЙСКАЯ ул.';18;;;;;;;;;;Да
129183;'8-я КРАСНОАРМЕЙСКАЯ ул.';19;;;;;;;;;;Да
129184;'8-я КРАСНОАРМЕЙСКАЯ ул.';'20а';;;;;;;;;;Да
129185;'8-я КРАСНОАРМЕЙСКАЯ ул.';'20а';;;;;Да;;Да;Да;;
129186;'8-я КРАСНОАРМЕЙСКАЯ ул.';21;;;;;;;;;;Да
129188;'8-я КРАСНОАРМЕЙСКАЯ ул.';23;;;;;;;;;;Да
129189;'8-я КРАСНОАРМЕЙСКАЯ ул.';'4/5';;;;;;;;;;Да
129190;'8-я КРАСНОАРМЕЙСКАЯ ул.';5;;;;;;;;;;Да
129191;'8-я КРАСНОАРМЕЙСКАЯ ул.';5;;;;;;;Да;Да;;
129192;'8-я КРАСНОАРМЕЙСКАЯ ул.';'9-11';;;;;;;;;;Да
129193;'8-я КРАСНОАРМЕЙСКАЯ ул.';'9-11';;;;;;;;;;Да
129194;'9-я КРАСНОАРМЕЙСКАЯ ул.';13;;;;;;;;;;Да
129196;'9-я КРАСНОАРМЕЙСКАЯ ул.';19;;;;;;;;;;Да
129198;'9-я КРАСНОАРМЕЙСКАЯ ул.';21;;;;;;;;;;Да
129199;'9-я КРАСНОАРМЕЙСКАЯ ул.';'3/7';;;;;;;;;;Да
129200;'9-я КРАСНОАРМЕЙСКАЯ ул.';8;;;;;;;;;;Да
129201;'9-я КРАСНОАРМЕЙСКАЯ ул.';9;;;;;;;;;;Да
129202;'АДМИРАЛТЕЙСКАЯ наб.';10;;;;;;;;;;Да
129203;'АДМИРАЛТЕЙСКАЯ наб.';12;;;;;;;;;;Да
129204;'АДМИРАЛТЕЙСКАЯ наб.';6;;;;;;;;;;Да
129206;'АДМИРАЛТЕЙСКИЙ кан.';7;;;;;;;;;;Да
129207;'АДМИРАЛТЕЙСКИЙ кан.';9;;;;;;;;;;Да
129208;'АЛЕКСАНДРА БЛОКА ул.';6;;;;;;;;;;Да
129209;'АНГЛИЙСКАЯ наб.';22;;;;;;;;;;Да
129210;'АНГЛИЙСКАЯ наб.';48;;;;;Да;;Да;Да;;
129211;'АНГЛИЙСКАЯ наб.';48;;;;;;;;;;Да
129212;'АНГЛИЙСКАЯ наб.';74;;;;;;;;;;Да
129213;'АНГЛИЙСКИЙ пр.';12;;;;;;;;;;Да
129214;'АНГЛИЙСКИЙ пр.';13;;;;;;;;;;Да
129215;'АНГЛИЙСКИЙ пр.';13;;;;;;;;;;Да
129216;'АНГЛИЙСКИЙ пр.';15;;;;;;;;;;Да
129217;'АНГЛИЙСКИЙ пр.';'17-19';;;;;;;;;;Да
129218;'АНГЛИЙСКИЙ пр.';'17-19';;;;;;;;;;Да
129220;'АНГЛИЙСКИЙ пр.';'17-19';;;;;;;;;;Да
129221;'АНГЛИЙСКИЙ пр.';'17-19';;;;;;;;;;Да
129222;'АНГЛИЙСКИЙ пр.';2;;;;;;;;;;Да
129223;'АНГЛИЙСКИЙ пр.';20;;;;;;;;;;Да
129224;'АНГЛИЙСКИЙ пр.';22;;;;;;;;;;Да
129225;'АНГЛИЙСКИЙ пр.';22;;;;;;;;;;Да
129226;'АНГЛИЙСКИЙ пр.';22;;;;;;;;;;Да
129227;'АНГЛИЙСКИЙ пр.';25;;;;;;;;;;Да
129228;'АНГЛИЙСКИЙ пр.';26;;;;;;;;;;Да
129229;'АНГЛИЙСКИЙ пр.';30;;;;;;;;;;Да
129230;'АНГЛИЙСКИЙ пр.';30;;;;;Да;;Да;Да;;
129231;'АНГЛИЙСКИЙ пр.';31;;;;;;;;;;Да
129232;'АНГЛИЙСКИЙ пр.';38;;;;;;;;;;Да
129233;'АНГЛИЙСКИЙ пр.';40;;;;;;;;;;Да
129234;'АНГЛИЙСКИЙ пр.';43;;;;;;;;;;Да
129236;'АНГЛИЙСКИЙ пр.';45;;;;;;;;;;Да
129237;'АНГЛИЙСКИЙ пр.';5;;;;;;;;;;Да
129238;'АНГЛИЙСКИЙ пр.';51;;;;;;;;;;Да
129239;'АНГЛИЙСКИЙ пр.';52;;;;;;;;;;Да
129240;'АНГЛИЙСКИЙ пр.';'54/24';;;;;Да;;Да;Да;;
129241;'АНГЛИЙСКИЙ пр.';56;;;;;;;;;;Да
129242;'АНГЛИЙСКИЙ пр.';58;;;;;;;;;;Да
129243;'АНГЛИЙСКИЙ пр.';60;;;;;;;;;;Да
129244;'АНГЛИЙСКИЙ пр.';62;;;;;;;;;;Да
129245;'АНГЛИЙСКИЙ пр.';'7/2';;;;;;;;;;Да
'01-0008';'Батайский пер.';10;;;;;;;;;;Да
'01-0007';'Батайский пер.';4;;;;;;;;;;Да
129250;'Б.МОРСКАЯ ул.';46;;;;;;;;;;Да
129251;'Б.МОРСКАЯ ул.';47;;;;;;;;;;Да
129252;'Б.МОРСКАЯ ул.';49;;;;;;;;;;Да
129253;'Б.МОРСКАЯ ул.';50;;;;;;;;;;Да
129254;'Б.МОРСКАЯ ул.';52;;;;;;;;;;Да
129255;'Б.МОРСКАЯ ул.';'53/8';;;;;;;;;;Да
129256;'Б.МОРСКАЯ ул.';55;;;;;Да;;Да;Да;;
129257;'Б.МОРСКАЯ ул.';56;;;;;;;;;;Да
129258;'Б.МОРСКАЯ ул.';56;;;;;Да;;Да;Да;;
129259;'Б.МОРСКАЯ ул.';57;;;;;;;;;;Да
129260;'Б.МОРСКАЯ ул.';63;;;;;;;;;;Да
'01-0001';'Большой Казачий  пер.';3;;;;;;;;;;Да
'01-0002';'Большой Казачий  пер.';5;;;;;;;;;;Да
'01-0003';'Большой Казачий  пер.';6;;;;;;;;;;Да
'01-0004';'Большой Казачий  пер.';7;;;;;;;;;;Да
'01-0005';'Большой Казачий  пер.';9;;;;;;;;;;Да
'01-0006';'Большой Казачий  пер.';9;;;;;;;;;;Да
'01-0010';'Бородинская ул.';13;;;;;;;;;;Да
'01-0011';'Бородинская ул.';13;;;;;;;;;;Да
'01-0012';'Бородинская ул.';15;;;;;;;;;;Да
'01-0009';'Бородинская ул.';'1/88';;;;;;;;;;Да
'01-0017';'Бронницкая ул.';10;;;;;;;;;;Да
'01-0018';'Бронницкая ул.';12;;;;;;;;;;Да
'01-0019';'Бронницкая ул.';'13/19';;;;;;;;;;Да
'01-0020';'Бронницкая ул.';14;;;;;;;;;;Да
'01-0021';'Бронницкая ул.';'14б';;;;;;;;;;Да
'01-0022';'Бронницкая ул.';'15/24';;;;;;;;;;Да
'01-0023';'Бронницкая ул.';16;;;;;;;;;;Да
'01-0025';'Бронницкая ул.';17;;;;;;;;;;Да
'01-0026';'Бронницкая ул.';'18/22';;;;;;;;;;Да
'01-0027';'Бронницкая ул.';19;;;;;;;;;;Да
'01-0029';'Бронницкая ул.';21;;;;;;;;;;Да
'01-0030';'Бронницкая ул.';22;;;;;;;;;;Да
'01-0032';'Бронницкая ул.';25;;;;;;;;;;Да
'01-0033';'Бронницкая ул.';26;;;;;;;;;;Да
'01-0013';'Бронницкая ул.';'2/70';;;;;;;;;;Да
'01-0034';'Бронницкая ул.';'27/21';;;;;;;;;;Да
'01-0035';'Бронницкая ул.';28;;;;;;;;;;Да
'01-0037';'Бронницкая ул.';31;;;;;;;;;;Да
'01-0039';'Бронницкая ул.';33;;;;;;;;;;Да
'01-0040';'Бронницкая ул.';'36/37';;;;;;;;;;Да
'01-0041';'Бронницкая ул.';'37/119';;;;;;;;;;Да
'01-0014';'Бронницкая ул.';4;;;;;;;;;;Да
'01-0042';'Бронницкая ул.';40;;;;;;;;;;Да
'01-0043';'Бронницкая ул.';44;;;;;;;;;;Да
'01-0015';'Бронницкая ул.';5;;;;;;;;;;Да
'01-0016';'Бронницкая ул.';7;;;;;;;;;;Да
'01-0051';'Верейская ул.';11;;;;;;;;;;Да
'01-0052';'Верейская ул.';12;;;;;;;;;;Да
'01-0053';'Верейская ул.';13;;;;;;;;;Да;
'01-0054';'Верейская ул.';'13б';;;;;;;;;;Да
'01-0055';'Верейская ул.';14;;;;;;;;;;Да
'01-0059';'Верейская ул.';17;;;;;;;;;;Да
'01-0060';'Верейская ул.';18;;;;;;;;;;Да
'01-0061';'Верейская ул.';19;;;;;;;;;;Да
'01-0062';'Верейская ул.';'22-24';;;;;;;;;;Да
'01-0064';'Верейская ул.';23;;;;;;;;;;Да
'01-0065';'Верейская ул.';25;;;;;;;;;;Да
'01-0067';'Верейская ул.';26;;;;;;;;;;Да
'01-0044';'Верейская ул.';'2/60';;;;;;;;;;Да
'01-0045';'Верейская ул.';'2/60';;;;;;;;;;Да
'01-0068';'Верейская ул.';27;;;;;;;;;;Да
'01-0070';'Верейская ул.';28;;;;;;;;;;Да
'01-0071';'Верейская ул.';29;;;;;;;;;;Да
'01-0072';'Верейская ул.';31;;;;;;;;;;Да
'01-0074';'Верейская ул.';33;;;;;;;;;;Да
'01-0075';'Верейская ул.';35;;;;;;;;;;Да
'01-0076';'Верейская ул.';'37-39';;;;;;;;;;Да
